LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
26m         Normal    SuccessfulCreate        job/presit-phase4-e2e-decision            Created pod: presit-phase4-e2e-decision-r5x7d
26m         Normal    SuccessfulCreate        job/presit-phase1-database                Created pod: presit-phase1-database-6tg6m
26m         Normal    ProvisioningSucceeded   persistentvolumeclaim/presit-reports      Successfully provisioned volume pvc-c3fcaa87-965c-4e96-8cd3-340928646ca6
26m         Normal    Scheduled               pod/presit-phase2-application-5qk2t       Successfully assigned pre-sit/presit-phase2-application-5qk2t to presit-control-plane
26m         Normal    Started                 pod/presit-phase1-database-6tg6m          Started container wait-for-db
26m         Normal    Created                 pod/presit-phase1-database-6tg6m          Created container wait-for-db
26m         Normal    Pulling                 pod/presit-phase4-e2e-decision-r5x7d      Pulling image "bitnami/kubectl:latest"
26m         Normal    Pulled                  pod/presit-phase1-database-6tg6m          Container image "busybox:1.36" already present on machine
26m         Normal    Scheduled               pod/presit-phase3-integration-jsdc8       Successfully assigned pre-sit/presit-phase3-integration-jsdc8 to presit-control-plane
26m         Normal    Scheduled               pod/presit-phase4-e2e-decision-r5x7d      Successfully assigned pre-sit/presit-phase4-e2e-decision-r5x7d to presit-control-plane
26m         Normal    Scheduled               pod/presit-phase1-database-6tg6m          Successfully assigned pre-sit/presit-phase1-database-6tg6m to presit-control-plane
26m         Normal    Pulling                 pod/presit-phase2-application-5qk2t       Pulling image "bitnami/kubectl:latest"
26m         Normal    Pulling                 pod/presit-phase3-integration-jsdc8       Pulling image "bitnami/kubectl:latest"
26m         Normal    Created                 pod/presit-phase2-application-5qk2t       Created container wait-for-phase1
26m         Normal    Pulling                 pod/presit-phase1-database-6tg6m          Pulling image "localhost:5000/presit-bdd-runner:v2.2"
26m         Normal    Started                 pod/presit-phase2-application-5qk2t       Started container wait-for-phase1
26m         Normal    Pulled                  pod/presit-phase2-application-5qk2t       Successfully pulled image "bitnami/kubectl:latest" in 1.534s (1.535s including waiting). Image size: 80196245 bytes.
26m         Normal    Started                 pod/presit-phase3-integration-jsdc8       Started container wait-for-phase2
26m         Normal    Pulled                  pod/presit-phase3-integration-jsdc8       Successfully pulled image "bitnami/kubectl:latest" in 1.534s (2.609s including waiting). Image size: 80196245 bytes.
26m         Normal    Created                 pod/presit-phase3-integration-jsdc8       Created container wait-for-phase2
26m         Normal    Created                 pod/presit-phase4-e2e-decision-r5x7d      Created container wait-for-phase3
26m         Normal    Pulled                  pod/presit-phase4-e2e-decision-r5x7d      Successfully pulled image "bitnami/kubectl:latest" in 1.434s (4.04s including waiting). Image size: 80196245 bytes.
26m         Normal    Started                 pod/presit-phase4-e2e-decision-r5x7d      Started container wait-for-phase3
26m         Normal    Started                 pod/presit-phase1-database-6tg6m          Started container bdd-runner
26m         Normal    Created                 pod/presit-phase1-database-6tg6m          Created container bdd-runner
26m         Normal    Pulled                  pod/presit-phase1-database-6tg6m          Successfully pulled image "localhost:5000/presit-bdd-runner:v2.2" in 574ms (3.747s including waiting). Image size: 262321913 bytes.
26m         Normal    Pulled                  pod/presit-phase1-database-9xkpn          Container image "busybox:1.36" already present on machine
26m         Normal    SuccessfulCreate        job/presit-phase1-database                Created pod: presit-phase1-database-9xkpn
26m         Normal    Pulled                  pod/presit-phase1-database-9xkpn          Successfully pulled image "localhost:5000/presit-bdd-runner:v2.2" in 16ms (16ms including waiting). Image size: 262321913 bytes.
